Year,Tic,EPS,Dividends,Net_Income,Price
2020,ADBE,10.83,0,5260,478.47
2021,ADBE,10.02,0,4822,669.85
2022,ADBE,10.1,0,4756,344.93
2023,ADBE,11.82,0,5428,611.01
2014,ABBV,1.1,2806,1774,65.44
2015,ABBV,3.13,3431,5144,59.24
2016,ABBV,3.63,3823,5953,62.62
2017,ABBV,3.3,4221,5309,96.71
2018,ABBV,3.66,6045,5687,92.19
2019,ABBV,5.28,6533,7882,88.54
2020,ABBV,2.72,8278,4616,107.15
2021,ABBV,6.45,9470,11542,135.4
2022,ABBV,6.63,10179,11836,161.61
2023,ABBV,2.72,10647,4863,154.97
2014,TMUS,0.3,0,247,26.94
2015,TMUS,0.82,0,733,39.12
2016,TMUS,1.69,0,1460,57.51
2017,TMUS,5.2,0,4536,63.51
2018,TMUS,3.36,0,2888,63.61
2019,TMUS,4.02,0,3468,78.42
2020,TMUS,2.65,0,3064,134.85
2021,TMUS,2.41,0,3024,115.98
2022,TMUS,2.06,0,2590,140
2023,TMUS,6.93,747,8317,160.33
2014,CSCO,1.49,3758,7853,25.23
2015,CSCO,1.75,4086,8981,28.42
2016,CSCO,2.11,4750,10739,30.53
2017,CSCO,1.9,5511,9609,31.45
2018,CSCO,0.02,5968,110,42.29
2019,CSCO,2.61,5979,11621,55.4
2020,CSCO,2.64,6016,11214,47.1
2021,CSCO,2.5,6166,10591,55.37
2022,CSCO,2.82,6224,11812,45.37
2023,CSCO,3.07,6302,12613,52.04
2014,QCOM,4.65,2629,7967,74.77
2015,QCOM,3.22,2932,5271,53.73
2016,QCOM,3.81,3046,5705,68.5
2017,QCOM,1.65,3314,2466,51.84
2018,QCOM,-3.32,3517,-4864,72.03
2019,QCOM,3.59,3034,4386,76.28
2020,QCOM,4.52,2972,5198,117.68
2021,QCOM,7.87,3097,9043,128.98
2022,QCOM,11.37,3303,12936,112.98
2023,QCOM,6.42,3584,7232,111.06
2014,INTU,3.12,220,907,81.97
2015,INTU,1.28,287,365,105.77
2016,INTU,3.69,319,979,110.99
